    1.9073486328e-06	    2.1007898305e-14
    3.8146972656e-06	    8.4031478737e-14
    7.6293945312e-06	    3.3612499908e-13
    1.5258789062e-05	    1.3444926695e-12
    3.0517578125e-05	    5.3779120638e-12
    6.1035156250e-05	    2.1511179358e-11
    1.2207031250e-04	    8.6040966485e-11
    2.4414062500e-04	    3.4413386213e-10
    4.8828125000e-04	    1.3762954781e-09
    9.7656250000e-04	    5.5032631094e-09
    1.9531250000e-03	    2.1997717360e-08
    3.9062500000e-03	    8.7868433842e-08
    7.8125000000e-03	    3.5049815196e-07
    1.5625000000e-02	    1.3942497724e-06
    3.1250000000e-02	    5.5160269141e-06
    6.2500000000e-02	    2.1591287064e-05
    1.2500000000e-01	    8.2805014072e-05
    2.5000000000e-01	    3.0583539369e-04
    5.0000000000e-01	    1.0586705798e-03
    1.0000000000e+00	    3.3138544101e-03
    2.0000000000e+00	    9.0555824273e-03
    4.0000000000e+00	    2.1151891581e-02
    8.0000000000e+00	    4.2221041379e-02
    1.6000000000e+01	    7.3181399972e-02
    3.2000000000e+01	    1.1270807073e-01
    6.4000000000e+01	    1.5784865633e-01
    1.2800000000e+02	    2.0511763625e-01
    2.5600000000e+02	    2.5139674419e-01
    5.1200000000e+02	    2.9439642006e-01
    1.0240000000e+03	    3.3274184869e-01
    2.0480000000e+03	    3.6584251522e-01
    4.0960000000e+03	    3.9368162221e-01
    8.1920000000e+03	    4.1660779078e-01
    1.6384000000e+04	    4.3516607255e-01
    3.2768000000e+04	    4.4997652307e-01
    6.5536000000e+04	    4.6165557872e-01
    1.3107200000e+05	    4.7076978758e-01
    2.6214400000e+05	    4.7781246689e-01
    5.2428800000e+05	    4.8327585821e-01
    1.0485760000e+06	    4.8742484530e-01
