    1.9531250000e-03	    4.8970486000e-05	    4.8828076000e-07
    3.9062500000e-03	    9.8388762000e-05	    9.8156411000e-07
    7.8125000000e-03	    1.9219371000e-04	    1.8717597000e-06
    1.5625000000e-02	    3.8621168000e-04	    3.8712996000e-06
    3.1250000000e-02	    7.7738286000e-04	    7.9007616000e-06
    6.2500000000e-02	    1.5145674000e-03	    1.4689181000e-05
    1.2500000000e-01	    2.9785665000e-03	    2.8956596000e-05
    2.5000000000e-01	    5.7748977000e-03	    5.7269808000e-05
    5.0000000000e-01	    1.0737261000e-02	    1.0278761000e-04
    1.0000000000e+00	    1.9302521000e-02	    1.8712990000e-04
    2.0000000000e+00	    3.1052731000e-02	    2.8370266000e-04
    4.0000000000e+00	    4.7172123000e-02	    4.1940565000e-04
    8.0000000000e+00	    6.5477089000e-02	    5.7302781000e-04
    1.6000000000e+01	    8.3683886000e-02	    6.9337485000e-04
    3.2000000000e+01	    1.0138891000e-01	    8.1521139000e-04
    6.4000000000e+01	    1.1724437000e-01	    9.0947339000e-04
    1.2800000000e+02	    1.2881558000e-01	    9.9061122000e-04
    2.5600000000e+02	    1.3862807000e-01	    1.0231203000e-03
    5.1200000000e+02	    1.4523183000e-01	    1.0632759000e-03
    1.0240000000e+03	    1.5082866000e-01	    1.0795438000e-03
