    1.0000000000e+01	    5.1574970569e-01	    4.3715424163e-05
    1.4000000000e+01	    4.5620028888e-01	    4.7131422043e-05
    2.0000000000e+01	    3.9754871205e-01	    5.0404836621e-05
    2.8000000000e+01	    3.4707737306e-01	    5.3131796349e-05
    4.0000000000e+01	    2.9884883402e-01	    5.5721417096e-05
    5.6000000000e+01	    2.5844777483e-01	    5.7838692233e-05
    8.0000000000e+01	    2.2057397559e-01	    5.9793818424e-05
    1.1200000000e+02	    1.8953759621e-01	    6.1380282498e-05
    1.6000000000e+02	    1.6099019678e-01	    6.2817514897e-05
    2.2600000000e+02	    1.3702511726e-01	    6.4021722223e-05
    3.2000000000e+02	    1.1622143768e-01	    6.5056249955e-05
    4.5200000000e+02	    9.8621758028e-02	    6.5931524121e-05
    6.4000000000e+02	    8.3380258332e-02	    6.6687391319e-05
    9.0400000000e+02	    7.0586938588e-02	    6.7310981709e-05
    1.2800000000e+03	    5.9670358807e-02	    6.7827877486e-05
    1.8100000000e+03	    5.0312158994e-02	    6.8292941003e-05
    2.5600000000e+03	    4.2430499151e-02	    6.8675376104e-05
    3.6200000000e+03	    3.5862479283e-02	    6.8992748608e-05
    5.1200000000e+03	    3.0218459396e-02	    6.9267500567e-05
    7.2400000000e+03	    2.5584659488e-02	    6.9483020537e-05
    1.0240000000e+04	    2.1536399569e-02	    6.9678320272e-05
    1.4480000000e+04	    1.8136199637e-02	    6.9835057928e-05
    2.0480000000e+04	    1.5231059695e-02	    6.9981796463e-05
    2.8962000000e+04	    1.2819239744e-02	    7.0094537984e-05
    4.0960000000e+04	    1.0782839784e-02	    7.0192277028e-05
    5.7926000000e+04	    9.1379398172e-03	    7.0273933992e-05
    8.1920000000e+04	    7.5994798480e-03	    7.0335370721e-05
