    1.0000000000e+01	    5.1558165169e-01	    1.3832488523e-04
    1.4000000000e+01	    4.5620625288e-01	    1.4902219502e-04
    2.0000000000e+01	    3.9763919205e-01	    1.5940135481e-04
    2.8000000000e+01	    3.4700645306e-01	    1.6813502664e-04
    4.0000000000e+01	    2.9910563402e-01	    1.7598705848e-04
    5.6000000000e+01	    2.5834871483e-01	    1.8292391034e-04
    8.0000000000e+01	    2.2069229559e-01	    1.8915202422e-04
    1.1200000000e+02	    1.8949235621e-01	    1.9411363412e-04
    1.6000000000e+02	    1.6091585678e-01	    1.9873674803e-04
    2.2600000000e+02	    1.3731521725e-01	    2.0233474995e-04
    3.2000000000e+02	    1.1653661767e-01	    2.0556492789e-04
    4.5200000000e+02	    9.8704438026e-02	    2.0850690183e-04
    6.4000000000e+02	    8.3720818326e-02	    2.1061360979e-04
    9.0400000000e+02	    7.0429258591e-02	    2.1287313774e-04
    1.2800000000e+03	    5.9558518809e-02	    2.1446041371e-04
    1.8100000000e+03	    5.0086018998e-02	    2.1603609768e-04
    2.5600000000e+03	    4.2458039151e-02	    2.1713469766e-04
    3.6200000000e+03	    3.5820779284e-02	    2.1810318164e-04
    5.1200000000e+03	    2.9917859402e-02	    2.1919726962e-04
    7.2400000000e+03	    2.5975679480e-02	    2.1961463561e-04
    1.0240000000e+04	    2.1574079569e-02	    2.2035186159e-04
    1.4480000000e+04	    1.8337259633e-02	    2.2073629959e-04
    2.0480000000e+04	    1.5171299697e-02	    2.2147326757e-04
    2.8962000000e+04	    1.2857879743e-02	    2.2160563357e-04
    4.0960000000e+04	    1.1216759776e-02	    2.2188078156e-04
    5.7926000000e+04	    9.2568598149e-03	    2.2214152356e-04
    8.1920000000e+04	    7.7752798445e-03	    2.2244559155e-04
    1.1585200000e+05	    6.6150598677e-03	    2.2276296154e-04
