    1.0000000000e+01	    2.5503770129e-02	    1.0477956140e-04
    1.4000000000e+01	    1.5531954171e-02	    1.0785210977e-04
    2.0000000000e+01	    9.0773149413e-03	    1.1117943697e-04
    2.8000000000e+01	    5.5428119568e-03	    1.1400525248e-04
    4.0000000000e+01	    3.2750860325e-03	    1.1674365128e-04
    5.6000000000e+01	    2.0014208589e-03	    1.1909698563e-04
    8.0000000000e+01	    1.2051549370e-03	    1.2115300734e-04
    1.1200000000e+02	    6.1622123179e-04	    1.2291198283e-04
    1.6000000000e+02	    3.2368834953e-04	    1.2444621368e-04
    2.2600000000e+02	    3.7020960847e-04	    1.2562853919e-04
    3.2000000000e+02	    1.6319530472e-05	    1.2677409646e-04
%    4.5200000000e+02	    8.6472317308e-05	    1.2770420670e-04
%    6.4000000000e+02	    2.1321360591e-04	    1.2846439290e-04
%    9.0400000000e+02	    2.7229242564e-04	    1.2907535979e-04
