    1.0000000000e+01	    4.2099187809e-01	    1.8228221575e-04
    1.4000000000e+01	    3.2535822719e-01	    2.0091171870e-04
    2.0000000000e+01	    2.3836755335e-01	    2.1752731408e-04
    2.8000000000e+01	    1.7128594191e-01	    2.3044564952e-04
    4.0000000000e+01	    1.1643227528e-01	    2.4162287958e-04
    5.6000000000e+01	    7.8212344811e-02	    2.5019218332e-04
    8.0000000000e+01	    5.0137755681e-02	    2.5765612156e-04
    1.1200000000e+02	    3.2037777434e-02	    2.6341102348e-04
    1.6000000000e+02	    1.9542369068e-02	    2.6917694268e-04
    2.2600000000e+02	    1.1944120038e-02	    2.7333863302e-04
    3.2000000000e+02	    7.4322463299e-03	    2.7724743088e-04
    4.5200000000e+02	    4.7144235629e-03	    2.8014281544e-04
    6.4000000000e+02	    2.5207443614e-03	    2.8334806995e-04
    9.0400000000e+02	    1.8206113733e-03	    2.8556817147e-04
    1.2800000000e+03	    9.0146106281e-04	    2.8767943365e-04
    1.8100000000e+03	    5.9091649161e-04	    2.8922605292e-04
    2.5600000000e+03	    5.5697225949e-04	    2.9038248350e-04
