0.001953125  3.1427775e-07  1.52699484066536e-09
0.00390625  1.2598857e-06  7.618136530732016e-09
0.0078125  5.0250652e-06  2.436477680807503e-08
0.015625  1.9870265e-05  1.059037118096283e-07
0.03125  7.829849699999999e-05  3.309630354526587e-07
0.0625  0.00030304342  1.470964706954601e-06
0.125  0.0011343041  6.386552241322547e-06
0.25  0.0040450989  3.123597074639205e-05
0.5  0.01292723  0.0001196876105870104
1  0.036007666  0.0003396226687269639
2  0.080521272  0.001024912024603371
4  0.14624563  0.003022535474915931
8  0.22087247  0.00290716073316855
16  0.29440608  0.004080218819154874
32  0.36492564  0.006113962531101472
64  0.42479267  0.0083310977164663
128  0.47337714  0.01207998962070596
256  0.50724454  0.01506597939898053
512  0.52454226  0.00891559412023858
1024  0.55720881  0.01742210607002393
