#Nperloop            	Grad_step           	Flag                	Surf_distance       	Time_eval           	Time_taken          	Anlt                	num_avg             	num_std             
     1.00000000E+001	     0.00000000E+000	     1.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.16287000E-001	     4.41455329E-001	     3.95014993E-001	     1.03709249E-001
     1.00000000E+001	     0.00000000E+000	     2.00000000E+000	     1.00000000E+000	     2.00000000E+000	     6.18890000E-002	     4.41455329E-001	     4.98761935E-001	     1.01718123E-001
     1.00000000E+001	     5.00000000E-001	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.86829000E-001	     4.41455329E-001	     2.83485897E-001	     4.42340482E-002
     1.00000000E+001	     5.00000000E-001	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.23038000E-001	     4.41455329E-001	     3.23699762E-001	     4.40600041E-002
     1.00000000E+001	     5.00000000E-001	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25375000E-001	     4.41455329E-001	     3.26961002E-001	     8.76428737E-002
     1.00000000E+001	     5.00000000E-001	     6.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.79970000E-002	     4.41455329E-001	     2.22611850E-001	     1.04629504E-001
     1.00000000E+001	     2.50000000E-001	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.86154000E-001	     4.41455329E-001	     5.13222447E-001	     1.25754073E-001
     1.00000000E+001	     2.50000000E-001	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.22383000E-001	     4.41455329E-001	     5.60137447E-001	     1.26711649E-001
     1.00000000E+001	     2.50000000E-001	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25276000E-001	     4.41455329E-001	     2.94954494E-001	     2.86571794E-001
     1.00000000E+001	     2.50000000E-001	     6.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.79000000E-002	     4.41455329E-001	     3.75077595E-001	     3.69549790E-001
     1.00000000E+001	     1.25000000E-001	     3.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.86018000E-001	     4.41455329E-001	     5.70527629E-001	     4.12916651E-001
     1.00000000E+001	     1.25000000E-001	     4.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.24417000E-001	     4.41455329E-001	     4.27628836E-001	     4.09302894E-001
     1.00000000E+001	     1.25000000E-001	     5.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.25464000E-001	     4.41455329E-001	    -3.66140818E-002	     9.14035994E-001
     1.00000000E+001	     1.25000000E-001	     6.00000000E+000	     1.00000000E+000	     2.00000000E+000	     1.79320000E-002	     4.41455329E-001	    -1.43945731E+000	     9.63131069E-001
