##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.20480000E+004	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.15817207E+000	 0.63870785E+000
 0.40960000E+004	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24873060E-003	 0.19873714E-002
 0.40960000E+004	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18848434E-001	 0.13307338E+000
 0.40960000E+004	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12479322E+000	 0.55987023E+000
 0.40960000E+004	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.15983176E+000	 0.64318387E+000
 0.81920000E+004	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24921229E-003	 0.20005251E-002
 0.81920000E+004	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18880314E-001	 0.13384596E+000
 0.81920000E+004	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12496513E+000	 0.56284463E+000
 0.81920000E+004	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.16100889E+000	 0.64717673E+000
 0.16384000E+005	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24952918E-003	 0.20077695E-002
 0.16384000E+005	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18903820E-001	 0.13438895E+000
 0.16384000E+005	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12498554E+000	 0.56500503E+000
 0.16384000E+005	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.16148452E+000	 0.64952427E+000
 0.32768000E+005	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24921687E-003	 0.20137175E-002
 0.32768000E+005	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18876454E-001	 0.13457011E+000
 0.32768000E+005	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12488624E+000	 0.56497803E+000
 0.32768000E+005	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.16158212E+000	 0.64979849E+000
 0.65536000E+005	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24895660E-003	 0.20073248E-002
 0.65536000E+005	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18861346E-001	 0.13426230E+000
 0.65536000E+005	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12489265E+000	 0.56539301E+000
 0.65536000E+005	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.16169169E+000	 0.65033588E+000
