    3.8146973000e-06	    8.4119417000e-14	    3.6459225000e-17
    1.5258789000e-05	    1.3459932000e-12	    5.8333957000e-16
    6.1035156000e-05	    2.1535223000e-11	    9.3330838000e-15
    2.4414062000e-04	    3.4451850000e-10	    1.4930710000e-13
    9.7656250000e-04	    5.5094131000e-09	    2.3874910000e-12
    3.9062500000e-03	    8.7966564000e-08	    3.8109066000e-11
    1.5625000000e-02	    1.3958027000e-06	    6.0399822000e-10
    6.2500000000e-02	    2.1615088000e-05	    9.3117648000e-09
    2.5000000000e-01	    3.0615996000e-04	    1.2980608000e-07
    1.0000000000e+00	    3.3169850000e-03	    1.3441795000e-06
    4.0000000000e+00	    2.1167344000e-02	    7.8843663000e-06
    1.6000000000e+01	    7.3217836000e-02	    2.4592079000e-05
    6.4000000000e+01	    1.5790434000e-01	    4.8160513000e-05
    2.5600000000e+02	    2.5146874000e-01	    7.1062473000e-05
    1.0240000000e+03	    3.3281891000e-01	    8.9071416000e-05
    4.0960000000e+03	    3.9374422000e-01	    1.0163299000e-04
    1.6384000000e+04	    4.3517915000e-01	    1.0979713000e-04
    6.5536000000e+04	    4.6150382000e-01	    1.1487393000e-04
    2.6214400000e+05	    4.7719896000e-01	    1.1793146000e-04
    1.0485760000e+06	    4.8587419000e-01	    1.1969649000e-04
