    1.6000000000e+01	    1.1978046516e-04	    3.4073149823e-04
    3.2000000000e+01	    3.7234930661e-04	    3.5965519369e-04
    6.4000000000e+01	    9.9561664710e-05	    3.7874376617e-04
    1.2800000000e+02	    1.5527503090e-04	    3.9376268718e-04
    2.5600000000e+02	    2.1631614850e-04	    4.0488773224e-04
    5.1200000000e+02	    1.7584702062e-05	    4.1354839140e-04
    1.0240000000e+03	    6.5058858703e-04	    4.1902607834e-04
    2.0480000000e+03	    1.1916764119e-04	    4.2275908232e-04
    4.0960000000e+03	    3.6180638558e-05	    4.2664655614e-04
    8.1920000000e+03	    5.9972717438e-05	    4.2794319466e-04
    1.6384000000e+04	    4.8545845758e-04	    4.3034676040e-04
    3.2768000000e+04	    7.2372582414e-05	    4.3145688868e-04
    6.5536000000e+04	    4.1849165325e-04	    4.3224944183e-04
