    1.6000000000e+01	    1.1823764755e-02	    5.9461422643e-04
    3.2000000000e+01	    5.4426693835e-03	    6.2320816324e-04
    6.4000000000e+01	    2.5145323299e-03	    6.4864559554e-04
    1.2800000000e+02	    2.3197046886e-04	    6.6857243106e-04
    2.5600000000e+02	    3.2109206059e-05	    6.8202104880e-04
    5.1200000000e+02	    1.2595180482e-03	    6.8877823517e-04
    1.0240000000e+03	    2.8834702867e-04	    6.9767131957e-04
    2.0480000000e+03	    1.0771949821e-04	    7.0239195570e-04
    4.0960000000e+03	    1.3065161766e-03	    7.0509580518e-04
    8.1920000000e+03	    3.8266119828e-04	    7.0918935806e-04
    1.6384000000e+04	    1.6281380921e-03	    7.1206641710e-04
    3.2768000000e+04	    1.7813721249e-04	    7.1302630221e-04
    6.5536000000e+04	    6.2236754847e-04	    7.1139535589e-04
