-1.8 -0.0024600738 0.00015268933
-1.6 -0.0036310442 0.00022104524
-1.4 -0.0052247064 0.00033097855
-1.2 -0.0081851739 0.0005255691300000001
-1 -0.012999419 0.0008823321499999999
-0.8 -0.022138566 0.0016193461
-0.6 -0.038247517 0.0033711618
-0.4 0.17306245 0.012217537
-0.2 0.16497753 0.011477643
0 0.16151367 0.011297343
0.2 0.16441146 0.011507903
0.4 0.17349706 0.01214587
0.6 -0.039073955 0.0033506541
0.8 -0.02171164 0.0016157777
1 -0.01323908 0.00088095817
1.2 -0.0080875965 0.0005227288
1.4 -0.0053164182 0.0003328885
1.6 -0.0035383684 0.00022054114
1.8 -0.0025014642 0.00015333543
2 -0.0018141237 0.00010990816
