#Nperloop       	flag            	chi             	surf_dist       	Time            	time_taken      	anlt            	num_mean        	num_std         
 0.12800000E+004	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.18104472E+003	 0.13080503E+001	 0.13079906E+001	 0.41548490E+001
 0.12800000E+004	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.55995492E+003	 0.13080503E+001	 0.13080459E+001	 0.26733325E+001
 0.25600000E+004	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.89448254E+003	 0.13080503E+001	 0.12934200E+001	 0.34784777E+002
 0.25600000E+004	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.15196449E+003	 0.13080503E+001	 0.11633911E+001	 0.20172711E+003
 0.25600000E+004	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.35678485E+003	 0.13080503E+001	 0.13084918E+001	 0.49005771E+001
 0.25600000E+004	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.11103880E+004	 0.13080503E+001	 0.13085566E+001	 0.30858215E+001
 0.51200000E+004	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.17637245E+004	 0.13080503E+001	 0.12947047E+001	 0.17051385E+003
 0.51200000E+004	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.30716308E+003	 0.13080503E+001	 0.10782193E+001	 0.28190697E+003
 0.51200000E+004	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.18538110E+004	 0.13080503E+001	 0.13080770E+001	 0.57770363E+001
 0.51200000E+004	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.36903604E+004	 0.13080503E+001	 0.13078283E+001	 0.35871765E+001
 0.10240000E+005	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.34945782E+004	 0.13080503E+001	 0.12776558E+001	 0.31635321E+003
 0.10240000E+005	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.61844963E+003	 0.13080503E+001	 0.49105963E+001	 0.39892934E+005
 0.10240000E+005	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.90813355E+004	 0.13080503E+001	 0.13078066E+001	 0.68289976E+001
 0.10240000E+005	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.12301186E+005	 0.13080503E+001	 0.13069535E+001	 0.41933678E+001
