##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.40960000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.50954138E-001	 0.20652034E+000
 0.81920000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.50960270E-001	 0.20664098E+000
 0.16384000E+005	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.50962860E-001	 0.20667843E+000
 0.20000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.21742249E-001	 0.27240290E+000
 0.40000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.72242697E-001	 0.48002143E+000
 0.80000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.12078830E+000	 0.69876908E+000
 0.16000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.15501354E+000	 0.17923542E+001
 0.32000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.17324994E+000	 0.14582967E+001
 0.64000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18219024E+000	 0.14615162E+001
 0.12800000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18607058E+000	 0.15754511E+001
 0.25600000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18765128E+000	 0.15797480E+001
 0.51200000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18817605E+000	 0.15522380E+001
 0.10240000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18840448E+000	 0.15529370E+001
 0.20480000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18847944E+000	 0.15331978E+001
 0.40960000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18850541E+000	 0.15298706E+001
 0.81920000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18852866E+000	 0.15285521E+001
 0.16384000E+005	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.18778375E+000	-0.18853722E+000	 0.15267944E+001
